,recipe_id,recipe_name,average_rating,stars_shown,votes,difficulty,preparation_time,date,link,has_picture
114,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838341584880200/Spaghetti-Gemuesepfanne-mit-Pesto.html,no
115,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838321584879696/Vegane-Spargel-Spinat-Champignon-Lasagne.html,no
116,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838301584878413/Fischsuppe-im-Wok-auf-dem-Grill-zubereitet.html,no
117,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838281584875848/Meeresfruechte-Risotto-mit-Kabeljau-und-Riesengarnelen.html,no
118,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838271584875033/Lime-Curd-Cake.html,no
119,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838261584873519/Suppenbruehe.html,no
120,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857731587373013/Bouillabaisse-mit-Rouille.html,no
121,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857791587375421/Hefeeis-Creme-Mandeln-und-Pflaumen.html,no
122,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857751587374083/Ochsenbaeckchen-mit-Gremolata-und-Selleriepueree.html,no
123,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858441587463398/Ballotine-vom-Perlhuhn-mit-Morchelrahm-und-Brezen.html,no
124,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858451587465062/Skrei-mit-Lachsfarce-im-Wirsingblatt-Kartoffelpueree-aus-blauen-Kartoffeln-mit-Safransosse.html,no
125,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858471587466240/Blaetterteig-Apfeltarte-mit-Karamell-Royale-und-Calvados-Sabayon.html,no
126,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858961587547657/Pulpo.html,no
127,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858971587548454/Surf-and-Turf.html,no
128,,,,,,,,,httpss://www.chefkoch.de/rezepte/3839111584967539/STAMPEDE-Medovik-Torte-mit-Safranueberguss-Medovik-Cake-with-Saffron-Pouring.html,no
129,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860251587739034/Gyrospizza.html,no
130,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860211587734953/Senf-Kaviar.html,no
131,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860131587729601/Kekstorte-mit-Nougatcreme.html,no
132,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860031587719650/Kiwi-Schinken-Carpaccio-mit-Parmesan.html,no
133,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860011587718508/Exotische-Glasnudelsuppe-mit-wuerzigem-Rindfleisch.html,no
134,,,,,,,,,httpss://www.chefkoch.de/rezepte/3859981587716496/Kartoffel-Spargelgratin-mit-Maishaehnchenbrust.html,no
135,,,,,,,,,httpss://www.chefkoch.de/rezepte/3839071584966000/Hollaendische-Senfsuppe.html,no
136,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838471584889603/Veganer-Schokokuchen-mit-Apfelmus.html,no
137,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838451584888073/Sauerkirsch-Kurkuma-Trunk-a-la-Kristina.html,no
138,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838431584887229/Jaegermeisterkuchen.html,no
139,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838401584882826/Bester-Kaesekuchen.html,no
140,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838381584881590/Pilzaufstrich.html,no
141,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838371584881067/Bananen-Apfel-Orangenmarmelade.html,no
142,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838361584880970/Gefuellte-Pilze.html,no
143,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838351584880216/Primadonna.html,no
144,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838341584880200/Spaghetti-Gemuesepfanne-mit-Pesto.html,no
145,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838321584879696/Vegane-Spargel-Spinat-Champignon-Lasagne.html,no
146,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838301584878413/Fischsuppe-im-Wok-auf-dem-Grill-zubereitet.html,no
147,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838281584875848/Meeresfruechte-Risotto-mit-Kabeljau-und-Riesengarnelen.html,no
148,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838271584875033/Lime-Curd-Cake.html,no
149,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838261584873519/Suppenbruehe.html,no
150,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857731587373013/Bouillabaisse-mit-Rouille.html,no
151,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857791587375421/Hefeeis-Creme-Mandeln-und-Pflaumen.html,no
152,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857751587374083/Ochsenbaeckchen-mit-Gremolata-und-Selleriepueree.html,no
153,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858441587463398/Ballotine-vom-Perlhuhn-mit-Morchelrahm-und-Brezen.html,no
154,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858451587465062/Skrei-mit-Lachsfarce-im-Wirsingblatt-Kartoffelpueree-aus-blauen-Kartoffeln-mit-Safransosse.html,no
155,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858471587466240/Blaetterteig-Apfeltarte-mit-Karamell-Royale-und-Calvados-Sabayon.html,no
156,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858961587547657/Pulpo.html,no
157,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858971587548454/Surf-and-Turf.html,no
158,,,,,,,,,httpss://www.chefkoch.de/rezepte/3839111584967539/STAMPEDE-Medovik-Torte-mit-Safranueberguss-Medovik-Cake-with-Saffron-Pouring.html,no
159,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860251587739034/Gyrospizza.html,no
160,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860211587734953/Senf-Kaviar.html,no
161,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860131587729601/Kekstorte-mit-Nougatcreme.html,no
162,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860031587719650/Kiwi-Schinken-Carpaccio-mit-Parmesan.html,no
163,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860011587718508/Exotische-Glasnudelsuppe-mit-wuerzigem-Rindfleisch.html,no
164,,,,,,,,,httpss://www.chefkoch.de/rezepte/3859981587716496/Kartoffel-Spargelgratin-mit-Maishaehnchenbrust.html,no
165,,,,,,,,,httpss://www.chefkoch.de/rezepte/3839071584966000/Hollaendische-Senfsuppe.html,no
166,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838471584889603/Veganer-Schokokuchen-mit-Apfelmus.html,no
167,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838451584888073/Sauerkirsch-Kurkuma-Trunk-a-la-Kristina.html,no
168,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838431584887229/Jaegermeisterkuchen.html,no
169,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838401584882826/Bester-Kaesekuchen.html,no
170,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838381584881590/Pilzaufstrich.html,no
171,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838371584881067/Bananen-Apfel-Orangenmarmelade.html,no
172,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838361584880970/Gefuellte-Pilze.html,no
173,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838351584880216/Primadonna.html,no
174,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838341584880200/Spaghetti-Gemuesepfanne-mit-Pesto.html,no
175,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838321584879696/Vegane-Spargel-Spinat-Champignon-Lasagne.html,no
176,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838301584878413/Fischsuppe-im-Wok-auf-dem-Grill-zubereitet.html,no
177,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838281584875848/Meeresfruechte-Risotto-mit-Kabeljau-und-Riesengarnelen.html,no
178,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838271584875033/Lime-Curd-Cake.html,no
179,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838261584873519/Suppenbruehe.html,no
